int unit1_0[76][6]={
38, 1, 138, 0, 0, 0,
116, 1, 140, 0, 0, 0,
8, 0, 87, 0, 0, 0,
37, 1, 88, 1, 0, 0,
17, 0, 2, 1, 0, 0,
128, 1, 88, 1, 0, 0,
138, 0, 10, 1, 17, 0, 
48, 0, 68, 1, 17, 0, 
15, 0, 47, 1, 17, 0, 
22, 0, 56, 0, 17, 0, 
87, 0, 131, 1, 111, 1, 
87, 0, 25, 1, 57, 0, 
87, 0, 27, 1, 109, 1, 
87, 0, 58, 1, 113, 1, 
87, 0, 26, 0, 29, 0, 
2, 1, 135, 0, 148, 0, 
2, 1, 95, 1, 55, 0, 
2, 1, 67, 0, 5, 1, 
2, 1, 98, 0, 133, 1, 
2, 1, 86, 0, 44, 0, 
2, 1, 29, 1, 143, 1, 
2, 1, 81, 1, 21, 0, 
2, 1, 137, 0, 25, 1, 
2, 1, 134, 1, 37, 0, 
2, 1, 97, 1, 26, 1, 
96, 0, 27, 1, 88, 1, 
130, 1, 97, 0, 88, 1, 
81, 0, 145, 0, 88, 1, 
52, 0, 101, 1, 88, 1, 
51, 1, 109, 1, 88, 1, 
99, 0, 87, 0, 88, 1, 
109, 1, 55, 0, 88, 1, 
29, 1, 128, 0, 88, 1, 
10, 0, 80, 0, 88, 1, 
134, 1, 17, 1, 88, 1, 
9, 1, 112, 1, 138, 0, 
144, 1, 46, 1, 138, 0, 
46, 0, 8, 0, 138, 0, 
66, 1, 98, 1, 138, 0, 
12, 1, 32, 1, 138, 0, 
46, 1, 9, 0, 138, 0, 
108, 0, 48, 1, 138, 0, 
8, 0, 56, 0, 43, 1, 
8, 0, 60, 0, 109, 1, 
8, 0, 141, 1, 63, 1, 
8, 0, 80, 1, 46, 1, 
8, 0, 27, 1, 59, 1, 
125, 0, 56, 1, 37, 1, 
125, 0, 56, 1, 128, 1, 
47, 0, 124, 1, 37, 1, 
47, 0, 124, 1, 128, 1, 
80, 1, 114, 0, 140, 0, 
120, 0, 52, 1, 140, 0, 
133, 0, 29, 1, 140, 0, 
41, 1, 85, 1, 140, 0, 
146, 1, 78, 0, 140, 0, 
135, 1, 109, 1, 140, 0, 
110, 1, 15, 1, 140, 0, 
68, 1, 23, 0, 140, 0, 
17, 0, 55, 0, 88, 1, 
114, 0, 108, 1, 88, 1, 
114, 1, 87, 0, 88, 1, 
38, 1, 107, 1, 88, 1, 
87, 0, 89, 1, 88, 1, 
29, 1, 37, 0, 88, 1, 
46, 1, 63, 1, 88, 1, 
38, 1, 77, 1, 94, 0, 
38, 1, 82, 1, 55, 0, 
116, 1, 113, 1, 142, 1, 
116, 1, 20, 1, 135, 0, 
116, 1, 5, 0, 12, 0, 
116, 1, 147, 1, 56, 0, 
116, 1, 136, 1, 93, 0, 
116, 1, 66, 1, 80, 0, 
116, 1, 87, 0, 76, 0, 
116, 1, 84, 1, 113, 1};
int unit1_1[81][6]={
145, 1, 30, 0, 0, 0,
115, 1, 4, 0, 0, 0,
22, 1, 25, 1, 0, 0,
57, 0, 102, 1, 0, 0,
118, 1, 100, 1, 0, 0,
15, 0, 105, 1, 0, 0,
115, 1, 90, 1, 130, 1, 
115, 1, 66, 0, 148, 0, 
115, 1, 38, 1, 74, 1, 
105, 1, 112, 0, 25, 1, 
105, 1, 66, 0, 149, 1, 
105, 1, 122, 0, 95, 1, 
105, 1, 44, 0, 23, 1, 
105, 1, 59, 1, 33, 0, 
105, 1, 74, 0, 49, 1, 
105, 1, 149, 1, 109, 1, 
105, 1, 61, 0, 112, 1, 
105, 1, 116, 0, 110, 1, 
105, 1, 101, 1, 45, 1, 
105, 1, 40, 1, 75, 1, 
80, 0, 72, 1, 25, 1, 
138, 0, 146, 0, 25, 1, 
78, 1, 113, 1, 25, 1, 
2, 0, 56, 0, 25, 1, 
